count,date
2,Dec-11
13,Jan-12
199,Feb-12
55,Mar-12
17,Apr-12
30,May-12
23,Jun-12
21,Jul-12
29,Aug-12
10,Sep-12
14,Oct-12
13,Nov-12
6,Dec-12
10,Jan-13
15,Feb-13
16,Mar-13
14,Apr-13
14,May-13
11,Jun-13
21,Jul-13
62,Aug-13
37,Sep-13
13,Oct-13
14,Nov-13
10,Dec-13
10,Jan-14
16,Feb-14
38,Mar-14
94,Apr-14
16,May-14
12,Jun-14
63,Jul-14
44,Aug-14
27,Sep-14
26,Oct-14
20,Nov-14
31,Dec-14
15,Jan-15
35,Feb-15
65,Mar-15
111,Apr-15
164,May-15
24,Jun-15
20,Jul-15
24,Aug-15
19,Sep-15
41,Oct-15
42,Nov-15
16,Dec-15
12,Jan-16
39,Feb-16
21,Mar-16
142,Apr-16
116,May-16
18,Jun-16
